prediction_ts,age,gender,context,text,label
1650097281.355932,44,female,movies,"Were I not with friends, and so cheap, I would have walked out. It failed miserably as satire and didn't even have the redemption of camp.",negative
1650097769.491525,53,male,movies,"Having just finished reading the book One of a Kind a week ago, I was thinking This would make a great movie, especially now, when people know a little about poker and poker players. I was totally shocked to find it while browsing at the video store last night. I had no idea someone had actually turned this into a film. I grabbed it immediately and watched with much anticipation. What a major letdown!<br /><br />All of the intriguing things about Stu Ungar were skimmed over quickly, and instead I was left with a biopic that could have been about anybody. Ungar may have been a burnt-out jerk, but he was also a brilliant thinker that could read people instinctively. That is what made him so fascinating. Why not focus on that?<br /><br />And talk about watering down the real truth. This guy was excessive about absolutely everything: drugs, women, gambling, starvation, sleep-deprivation. He gambled on sporting events from dusk to dawn, he would go missing for days while hanging out in crack dens, his body was perpetually emaciated, and yet, if he ever needed money, he could always beat just about anyone at will playing cards. Now that's a story!<br /><br />Too much time spent on his childhood and personal relationships (although his ties with Vincent and his daughter were hardly touched on) and hardly anything about his drugs use (which was exorbitant), his insane gambling and his incredible card-playing abilities.<br /><br />Probably too late now, but I hope someone remakes this film properly. I had no problem with Imperioli. He is excellent. The script just left him with nothing interesting to say.",negative
1650098257.627118,46,female,movies,"A rare exception to the rule that great literature makes disappointing films, John Huston's beautiful farewell to life and the movies is almost entirely true to the narrative and the spirit of James Joyce's short story, a tender meditation on love, death and time expressed in the events of a Twelfth Night party in middle-class Dublin circa 1910. Unpromising as the material might appear, the film succeeds by its willingness to tell the story on its own quiet, apparently inconsequential terms, rather than force a conventional cinematic shape of plot points and dramatic incidents upon it. Only once is the wrong note struck, when old Miss Julia (a trained singer and music teacher whose voice is supposed to have been cracked by age, not shattered) sings so badly that the audience burst out laughing when I saw this at the cinema. Fortunately, the mood of hushed and gentle melancholy is re-established in plenty of time for the moment of revelation between the married couple Gabriel and Gretta Conroy in a hotel bedroom as snow begins to fall outside. It's a sad story, I suppose, but the kind that leaves you feeling better, not blue. Especially recommended as a date movie - for people in love who aren't frightened of confronting the sweetness and sadness of life.",positive
1650098745.762711,36,male,movies,"This movie was crap with a capital C. The opening scene showed promise. But that promise was broken shortly after the viewer learns where the plot is going.<br /><br />And the wooden statue, Morty, who was rather creepy in the original film, looks plain goofy in this one. It was so obviously just a guy in a cheap plastic costume. (And by the way, who else thinks Morty is one of the most un-scary names on planet earth? It ranks right up there with Jimmy or Fred when it comes to horror value. Or why not just name the wooden statute Henry-freakin'-Kissinger. Run, it's Dr. Kissinger! That'd be about as scary as Morty.)<br /><br />And then there's a scene where the hero hits his father's tombstone with---a sledgehammer? you might guess--a two-by-four? someone might venture. No, he angrily beats his father's tombstone with a twig---a freakin' twig. But worse than that, once the characters walk away, the tombstone actually, and inexplicably, bleeds. Oh brother!<br /><br />There's also a Native American guy who lives with the main character's grandparents, but apparently, does nothing except Morty-maintenance. He perpetuates creepy Morty-legends, warns those who scoff, and even fixes Morty's arm when it becomes damaged during a childish prank. But for all his respect for and tenderness toward Morty, does Morty give a rat's hairy behind? No.<br /><br />The movie drags on, and eventually several people die in ways that correspond to their worst fears (sort of). This film is a real yawner. Don't rent it.",negative
1650099233.898305,48,female,movies,"After having seen Marrying Mafia, I'd nearly lost my faith in Korean movie business. But this one brought my faith back.<br /><br />Leading female character who is university student forced to teach the spoiled, rich but charistmatic high school student guy. He is actually female character's age. Through some hilarious quarrells, these two end up being great friends.<br /><br />I was pleasantly surprised that newcomer kwan sang woo did his job with excellency. He was such a revelation!! Actress Kim ha nul was also charming as usual.<br /><br />This movie tried hard to avoid any cliches that can be seen in typical romantic comedies. And it didn't show us any unnecessary nude, sex scenes. It was brilliant, lovely , fresh, made me want to see it again.<br /><br />",positive
1650099722.033898,51,other,movies,"I suppose for 1961 this film was supposed to be  cool  , but looking back now ( 45 years ) it's charm was just as silly as it's entertainment value ! Granted , the special effects do well on T.V. with the Series that started in 1964 , but for the BIG screen ?? I once had a fish tank that was equally as exciting ! I must agree about the Octopus scene near the end where it attached itself to the Seaview. Obviously not well staged...or trained ! Overall , it's pretty bad acting with shoddy special effects and I still do recommend it - for fun laughs sake. This was probably one of Irwin Allen's Biggest films and I think he thought a lot of it . Barabara Eden went on to play  Genie  on T.V. Micheal Ansara was her Husband . Now that is a cool part about this film ! I always enjoyed seeing real life Husband and Wife teams star in the same movie . Neat !",negative
1650100210.169491,43,male,movies,"Just saw this movie today at the Seattle International Film Festival, and enjoyed it thoroughly.<br /><br />Great writing and direction, excellent and believable interaction among the cast, and great comic timing as well.<br /><br />This movie touches on themes that are universal-family and separation. As a result, I can see European, Asian, and American audiences all finding points of similarity between this film and their own lives.<br /><br />If all that wasn't enough, this has the potential to be the best underground date movie of the year...somebody distribute this in the USA, please!<br /><br />Finally: thank you Maria Flom! It really is a great film.",positive
1650100698.305084,24,female,movies,"Outside Sweden you are not expected have seen this movie. Happy you. The cast includes several actors that are important part of modern the Swedish movie history. And still.. <br /><br />Seems like Peter Dalle only had a an idea lasting for about 20 minutes. Robert Gustafson is totally misused in this movie, trying to copy a younger Gösta Ekman. Ekman, by the way, is the only actor fulfilling the expectations. <br /><br />Credit that can be given is for the photo, splendid idea using black and white. Music is OK.<br /><br />But over-all it's a waste of god actors and the time of the audience.",negative
1650101186.440677,49,male,movies,"When this first came out, my dad brought it home- we were amazed by it- It was so different from anything we had seen before. I was looking for a specific movie last night, and I found The Mind's Eye again. The box is falling apart, and I am surprised that the tape still works! Although it is not 'Finding Nemo' quality graphics, it is still very good. They should sell this again- it is a landmark for computer animation imagery. Highly recommended!<br /><br />This is what it is:<br /><br />The Mind's Eye is a spectacular odyssey through time. Your journey begins at the dawn of creation and moves through the rise of man and technology. Travel in the world of abstraction and on into the future with breathtaking computer animation imagery.<br /><br />The Mind's Eye joins the imaginations of over 300 of the world's most talented computer animation artists with a powerful, original music soundtrack. This unique collaboration takes you on an incredible voyage into The Mind's Eye.",positive
1650101674.576271,51,female,movies,"Mario Van Peebles tries to go the Jean-Claude Van Damme route and play a renegade robotic soldier who goes AWOL to preserve himself, however the government isn't going to take this lying down, so among the simplistic plot Van Peebles protects villagers from the rebel forces and defeats a improved version of himself in this disappointing film. This blatant rip off of Universal Soldier (Which is far more fun then this) simply goes nowhere. The main problem is that the movie is so unbelievably inert. Van Peebles just waits around and there just isn't enough ass-kicking to justify a viewing. On the other hand the movie does sort of resemble a competent version of R.O.T.O.R although where as that abysmal bad movie was hilarious, this one only yields occasional laughter in its laughably unconvincing action sequences. Also like R.O.T.O.R it makes no sense in its narrative and basically the movie is awesomely boring. Plus the villains are disappointingly weak and basically the movie needs an actual action scenario to work, because the material is too dull. In all regards Solo is a very weak film.<br /><br />*1/2 out of 4-(Poor)",negative
1650102162.711864,58,male,movies,"The music and Laurence Olivier's sombre delivery set the tone perfectly for this outstanding documentary. This is still a must see for WW II buffs, descendants of the participants of that conflict, politicians who think things always go their way when they extend their foreign policy via the deck of an aircraft carrier (did you hear that George Bush?) and anyone else curious or needing to know the whys whos and hows of some aspect of that conflict. The 26 episodes are roughly in chronological order but can be seen out of sequence since they are more or less self contained. There is bound to be new insight for the new viewer because of the sheer volume presented. Actual footage of the battles is interspersed with interviews of those involved in the stories. Many of the interviews are with second line authorities, that is, support personnel to the main characters, privates, captains, secretaries, eyewitnesses and the like. You get a real upfront taste of what war is all about.<br /><br />I am presently watching the DVD version of the original television documentary. I strongly recommend this over the worn out, gaptoothed, overpriced VHS offerings available on eBay. I paid $120 Cdn for five 2-sided DVD discs. This new release includes bonus material and is in full screen mode. The menus are easy to follow, there is first a choice of which episode you want to view and then after selecting that you are given the option of various chapters in the episode or to play the whole episode. It is understandable with such a comprehensive presentation there is a tiny amount more of navigation in the menu but the impact of what you will see is not diminished after 30 years, nay, after 60 years since the war finished.<br /><br />I remember watching the first broadcast on the Buffalo PBS station just before moving from London in 1975 and wishing right from that time that I could have a copy. Now my wish has finally come true.<br /><br />See this documentary. Tell your friends. Buy a copy for your library. Remember and honour the sacrifices and challenges overcome by those from America, Russia, Britain, Canada and all the other nations and peoples involved in the final victory. What an eye opener.",positive
1650102650.847457,42,female,movies,Not only unique for its time but one of the greatest Science fiction films of all time. Made without CGI on a very lean budget in today's adjusted figures. Stanley Kubrick made this film without the high shooting ratio he normally has. Stanley Kubrick is without doubt the greatest director in History thus far.<br /><br />This film was cut from five hours to two hours and twenty minutes and the art direction was superb.<br /><br />Stanley Kubrick and the great Aurthur C. Clarke collaborated to write this time less classic.<br /><br />Aliens a special message on Earth at the dawn of Human Kind and one on the Moon which modern man finds .<br /><br />Finally Humans accompanied by the most advanced computer ever made set of to Jupiter the find the next monumental message which turns out to be a gateway.<br /><br />Any one who studied film and/or wishes to be a part of the film industry or just enjoy great films must experience this film .<br /><br />If you don't like it then you belong to Bollywood or your a true Aussie.,positive
1650103138.98305,25,female,movies,"This ingenious and innovate comedy packs many moments priceless and great sense of pace, though overlong. Chaplin's satire with several classics scenes , he has dual role as a Jewish barber and dictator Hynkel, an offensive portrayal of Hitler . Then the barber is mistaken for the Hitlerian tyrant and happen bemusing events. Funny and extraordinaries acting of all casting, as the co-stars Jack Oakie as Napolini(Mussolini-alike), Henry Daniel as Gasbstich(Himmler-alike) and Billy Gilbert as Herring( Goering). Chaplin's first spoken film is brilliantly photographed by Karl Struss.This splendid film contains numerous amusing scenes, the funniest are the following : 1) The one when during the WWI the barber-soldier along with a co-pilot are flying in a turned plane without aware 2)Dictator Adenoid Hynkel doing overacting speeches including a twisted microphone 3)Hynkel playing with an enormous balloon of the world 4)The Jew-barber shaving a man fitting to Hungarian Dance number 5 of Brahms 5) when Hynkel and Napolini each try to keep his body higher than other in a barber's chair; among them.<br /><br />Hitler banned movie exhibition to the Germans due to its satire of him, and put him in his death list after his proposed conquest of America.The movie is co-starred by Paulette Goddard, third of his four wives , they were married in 1936, although no announcement of the marriage was made later, one time finished The Great Dictator.The picture was released in 1940, when Chaplin had survived a moral scandal by a paternity suit but a brush with the House of Un-American Activities was the signal for the USA to refuse him re-entry from Britain and he fled to Switzerland.",positive
1650103627.118644,49,female,movies,"I watched this film in a Singapore theatre yesterday (4 February, 2006)and came away with a better understanding of what schizophrenia patients and their loved ones go through.<br /><br />Ms Aparna Sen must be congratulated for not only taking on a difficult subject, but also treating the mentally challenged with a deep understanding of their predicament that is necessary to help them cope with the trauma of disorientation, hallucinations and the storm of turmoil raging in their minds.<br /><br />We have had Hollywood movies on this subject such as One flew over the cuckoo's nest where Jack Nicholson carried away the honours. Since then research has helped provide more insights into the problem and clearing some misconceptions about treatment. In ... cuckoo's nest, for example shock therapy has been portrayed as barbaric, but in 15 ... the point has been made that it is not as bad as it has been made out to be.<br /><br />The other misconception is that abuse in childhood is a cause for schizophrenia. But scholars such as Dr. E. Fuller Torrey have emphasised that studies have shown that childhood schizophrenia is a brain disease and is thought to have some genetic roots.<br /><br />It is now established that schizophrenia can be treated like any clinical ailment and its advance can be checked if detected early. Even in fairly advanced stages regular medication and counselling can be effective.<br /><br />The same understanding shown by Ms Sen is evident in the way the actors play out their parts. In keeping with the gravity of the theme, the acting is controlled throughout with Ms Konkana Sen-Sharma's evocative silences and eyes mirroring the helpless confusion of a disturbed mind speaking louder than some of the rantings we are used to in most of the movies that have included mentally challenged characters.<br /><br />Like me most of the audience in the theatre appeared confused at the abrupt ending. It leaves lot of questions hanging in terms of the plot.<br /><br />Has Meethi's search ended? Why is she not found in No. 15? Were children actually playing when Meethi strode past the gates with her eyes sparkling with recognition? Can anyone sort out this jigsaw puzzle?",positive
1650104115.254237,59,female,movies,"I've seen a great many films, but 'In Cold Blood' stands alone in a class by itself. It excels in every department. The fact that it contained few big stars helps push it over the top as you pay closer attention to the characters and their story, rather than the name on the marquee. Blake and Wilson turn in stellar performances of the killer duo. The fact that much of the films is filmed in the actual locations where the crime took place, even inside the very house, add additional chills. The black/white photography darkens the mood and the photography is magnificent. There are many outstanding cinematic works out there, but if I could only vote for one to top the list, it would most probably be In Cold Blood.",positive
1650104603.38983,50,female,movies,"I have watched this movie countless times, and never failed to be charmed by it's homely simplicity, sincerity and goodness. Great characterizations by all of the cast, and the lovely little steam trains that play a such an important supporting role.I confess I fell in love with Roberta in 1970, and she still touches me today. Shown on TV in New Zealand on Christmas day, the nicest present I could have had.",positive
1650105091.525423,27,male,movies,"Not only was he invariably annoying to listen to, but he had NO jokes. I swear, some fobby Asian guy telling yo momma jokes would've been funnier than Leary's crap. (Well, maybe funny for a couple minutes but at least I'll be able to laugh at least once!) Leary claimed he stopped taking drugs during one of his jokes... apparently he was still high on something; he was just some crackhead imprecating rants mostly drug related. One of his jokes was something like, 'I wouldn't use crack, especially having the same name as between my ass' - Oh man, how did he come up with that one?! I swear the only guy that needs to shut the f**k up is Denis Leary. Thank god I didn't have to see him live. This guy totally sucks.<br /><br />If you're easily amused by swearing, and jokes where you can come up with yourself, then waste your time with this junk.",negative
1650105579.661016,42,other,movies,"Some people seem to think this was the worst movie they have ever seen, and I understand where they're coming from, but I really have seen worse.<br /><br />That being said, the movies that I can recall (ie the ones I haven't blocked out) that were worse than this, were so bad that they physically pained every sense that was involved with watching the movie. The movies that are worse than War Games 2 are the ones that make you want to gouge out your eyes, or stab sharp objects in your ears to keep yourself from having another piece of your soul ripped away from you by the awfulness.<br /><br />War Games: The Dead Code isn't that bad, but it comes pretty close. Yes I was a fan of the original, but no I wasn't expecting miracles from this one. Let's face it the original wasn't really that great of a movie in the first place, it was basically just a campy 80s teen romance flick with some geek-appeal to it.<br /><br />That's all I was hoping for, something bad, but that might have tugged at my geek-strings. Was that too much to ask for? Is it really not possible to do better than the original War Games, even for a straight to video release? Well apparently that was too much to ask for. Stay away from this movie. At first it's just bad, like Oh yeah, this is bad, but I'm kind of enjoying it, maybe the end will be good like in the original. And then it just gets worse and worse, and by the end, trust me, you will wish you had not seen this movie.",negative
1650106067.79661,79,male,movies,"One word can describe this movie and that is weird. I recorded this movie one day because it was a Japanese animation and it was old so I thought it would be interesting. Well it was, the movie is about a young boy who travels the universe to get a metal body so he can seek revenge. On the way he meets very colorful characters and must ultimately decide if he wants the body or not. Very strange, if you are a fan of animation/science-fiction you might want to check this out.",positive
1650106555.932203,23,female,movies,"It says a lot about the United Kingdom when television programmes like this not only get made but also run for three series. Unfunny, politically correct to the point of sickening and poorly acted and written. Meera Syal has not been funny or accomplished in anything that she has been in, go on tell me I am wrong, and Jasper Carrott, funny guy as he is, is well past his eighties prime. This is such a bad comedy that it could have been made by ITV but even stinkers like The Upper Hand and the one with James Bolam as a car park attendant look like Fawlty Towers compared to this rubbish. I would love to sit down with the writer/director of this show so that they can point out the humour in this programme. Admittedly the majority of the UK's population is made up of poorly educated chavs but this would not tickle their funny bones. That's if they could tear themselves away from Big Brother or from their mobile phones but that's another story. Complete and utter dirt!",negative
1650107044.067796,45,male,movies,"If you are the sort of person looking for a realistic film or one with a strong and believable plot, then this film is NOT for you. Nope--you'll hate it. However, for those who like sweet, slightly screwball comedies, then you'll have a nice time watching this slight film.<br /><br />Tony Randall works for the IRS and he investigates a very nice farmer who never realized he needed to file an income tax return. However hard he tries to convince them of the seriousness of his visit, everyone in the family is thrilled to have company. They dote on him and treat him like one of the family,...and have plans on getting him hitched to their daughter, Debbie Reynolds. That's really about all the plot there is. But the film gets high marks for a fun script and decent acting. A really nice little curio from the late 1950s.",positive
1650107532.203389,40,female,movies,"HOUSE CALLS was an amusing 1978 comedy about a widowed doctor (Walter Matthau) who now wants to play the field but can't help but be drawn to a patient of his (Glenda Jackson) who refuses to be just another notch on his bedpost. Matthau likes the woman but does not really want to make the commitment that she insists upon so he agrees to date her exclusively for two weeks and then make a decision as to whether or not he wants to commit; however, other complications make it difficult for Matthau to make a decision when the two weeks are up, even though he is clearly in love with the woman. Matthau and Jackson have surprisingly effective chemistry as a screen couple and are given strong support from Richard Benjamin, Candice Azzara, Dick O'Neill, and especially Art Carney as the inept and senile Chief of Staff at the hospital where Matthau is employed. Matthau even has a brief scene with his real-life son, Charlie, who appears as Jackson's son. This engaging comedy still holds up pretty well after all these years. If you've never seen it, it's worth the rental.",positive
1650108020.338983,41,male,movies,"This would have to be by far the greatest series I have ever seen. I vividly watched every sunday night and purchased the box set as soon as it was available. this is a timeless play written by a fantastic Australian that people of all ages could relate to, whether they are Australian or not, however for those of us that are Australian it truly brings across the typical Australian icon. A must see 10/10",positive
1650108508.474576,39,male,movies,"I have to admit that I liked this film much more than I expected to. Will Smith has that clean-cut charm that you just can't help but like. The plot was a minor twist on basic romantic comedy stuff, somewhat reminiscent of Jane Austen's Emma. This guy Kevin James has a real flair for comic timing and physical comedy. I have never seen his TV show, but he was cast very well in this film. Amber Valletta was good enough. I can't remember why she was a rich celebrity in this film, but if she was supposed to be an actress or model, then the casting might have left something to be desired. I enjoyed Julie Ann Emery, and wish she'd had a larger part. But, saving the best for last, Eva Mendes more or less stole the show. Her beauty, and charm, and just the right amount of standoffishness had me glued to the screen whenever she was there. I hope to see more of her in the future. This film is definitely worth checking out.",positive
